Tanggal,Garut_PRECTOTCORR,Garut_T2M,Garut_RH2M
2022-01-03,2.65,22.0,88.45
2022-01-04,0.09,22.78,81.91
2022-01-05,4.52,23.36,86.26
2022-01-06,21.95,23.45,88.34
2022-01-07,44.62,22.81,90.41
2022-01-08,6.13,23.74,87.08
2022-01-09,17.08,23.66,89.65
2022-01-10,13.68,23.68,89.61
2022-01-11,12.93,22.8,91.9
2022-01-12,13.8,22.04,92.95
2022-01-13,9.2,22.21,90.73
2022-01-14,2.35,22.41,88.57
2022-01-15,3.12,22.9,89.01
2022-01-16,0.89,22.97,89.37
2022-01-17,8.26,23.43,86.65
2022-01-18,11.7,22.97,91.49
2022-01-19,29.95,22.56,90.72
2022-01-20,2.82,21.74,91.51
2022-01-21,2.43,22.74,89.17
2022-01-22,0.76,23.31,86.46
2022-01-23,2.46,23.79,87.3
2022-01-24,5.52,23.72,86.67
2022-01-25,1.96,23.67,88.15
2022-01-26,0.66,23.5,88.07
2022-01-27,1.87,23.21,87.8
2022-01-28,1.88,23.17,86.4
2022-01-29,2.0,23.53,85.54
2022-01-30,1.82,23.99,86.41
2022-01-31,10.16,23.17,89.83
2022-02-01,13.87,23.19,85.13
2022-02-02,7.1,22.66,88.09
2022-02-03,9.23,23.38,85.4
2022-02-04,10.97,23.44,88.1
2022-02-05,13.88,23.26,90.61
2022-02-06,9.09,22.67,90.97
2022-02-07,7.29,22.39,93.22
2022-02-08,11.6,22.78,90.32
2022-02-09,14.62,22.82,89.93
2022-02-10,2.22,23.12,86.8
2022-02-11,0.47,22.73,88.12
2022-02-12,0.98,22.67,90.98
2022-02-13,2.88,22.49,92.06
2022-02-14,4.05,22.66,90.98
2022-02-15,9.3,23.09,87.35
2022-02-16,6.59,22.92,87.88
2022-02-17,14.25,22.93,90.07
2022-02-18,8.23,22.55,90.39
2022-02-19,12.99,23.32,88.42
2022-02-20,8.77,23.22,87.42
2022-02-21,5.24,23.46,85.75
2022-02-22,28.33,23.05,84.81
2022-02-23,11.12,22.83,84.94
2022-02-24,9.23,23.17,85.82
2022-02-25,1.86,22.85,85.93
2022-02-26,1.26,22.37,87.13
2022-02-27,7.82,22.62,85.73
2022-02-28,2.88,22.92,85.4
2022-03-01,2.84,22.8,85.99
2022-03-02,8.22,23.01,87.86
2022-03-03,5.49,23.04,85.48
2022-03-04,7.88,23.07,88.7
2022-03-05,31.39,23.05,90.25
2022-03-06,16.01,22.78,90.27
2022-03-07,16.26,22.49,91.7
2022-03-08,8.41,23.61,84.19
2022-03-09,15.28,23.07,88.71
2022-03-10,18.22,23.12,87.07
2022-03-11,40.29,23.32,90.19
2022-03-12,13.43,23.6,89.97
2022-03-13,10.74,23.81,87.53
2022-03-14,26.87,23.88,91.31
2022-03-15,11.54,22.03,91.96
2022-03-16,0.85,23.11,87.44
2022-03-17,3.49,23.66,88.66
2022-03-18,9.13,23.84,92.45
2022-03-19,13.93,23.69,89.35
2022-03-20,3.75,23.38,89.61
2022-03-21,2.27,22.75,87.14
2022-03-22,8.02,22.55,87.08
2022-03-23,7.26,23.02,87.28
2022-03-24,0.42,23.4,82.07
2022-03-25,8.43,23.45,89.79
2022-03-26,15.41,22.92,89.13
2022-03-27,16.79,23.63,86.18
2022-03-28,11.8,23.59,87.06
2022-03-29,0.29,23.57,86.2
2022-03-30,1.63,23.72,85.4
2022-03-31,23.86,23.16,89.59
2022-04-01,3.32,23.46,81.92
2022-04-02,5.22,23.56,86.02
2022-04-03,12.75,22.56,92.89
2022-04-04,10.05,23.05,85.63
2022-04-05,14.43,23.6,86.84
2022-04-06,5.51,23.28,88.22
2022-04-07,5.88,23.06,86.03
2022-04-08,9.02,22.78,89.08
2022-04-09,8.93,23.24,86.83
2022-04-10,11.87,23.04,90.01
2022-04-11,12.65,23.12,90.03
2022-04-12,25.36,23.71,89.76
2022-04-13,6.93,23.27,89.56
2022-04-14,1.77,23.45,89.12
2022-04-15,14.28,23.73,89.47
2022-04-16,7.23,24.11,87.63
2022-04-17,5.78,23.97,89.85
2022-04-18,12.54,24.32,87.51
2022-04-19,56.12,23.32,92.48
2022-04-20,26.43,22.76,94.28
2022-04-21,33.12,22.68,92.2
2022-04-22,5.6,23.21,90.85
2022-04-23,2.31,23.96,85.45
2022-04-24,9.65,23.6,89.87
2022-04-25,12.56,23.8,87.44
2022-04-26,10.92,23.35,87.34
2022-04-27,10.6,23.0,91.62
2022-04-28,3.48,22.88,91.95
2022-04-29,5.03,23.68,85.31
2022-04-30,4.67,23.56,90.39
2022-05-01,4.01,23.33,90.07
2022-05-02,12.71,23.53,88.72
2022-05-03,2.55,23.63,89.14
2022-05-04,7.25,23.58,92.65
2022-05-05,8.18,22.9,94.69
2022-05-06,3.34,22.42,91.92
2022-05-07,0.86,23.73,86.71
2022-05-08,3.76,23.34,92.75
2022-05-09,23.44,23.65,87.97
2022-05-10,17.13,24.12,87.71
2022-05-11,2.54,24.66,88.58
2022-05-12,2.91,23.59,89.6
2022-05-13,2.65,24.12,88.34
2022-05-14,1.99,23.84,92.64
2022-05-15,6.0,23.75,92.0
2022-05-16,19.65,23.81,89.8
2022-05-17,7.87,23.16,89.33
2022-05-18,5.22,23.32,88.39
2022-05-19,18.22,22.21,90.78
2022-05-20,7.0,22.65,90.07
2022-05-21,7.86,23.24,92.04
2022-05-22,2.11,22.76,91.81
2022-05-23,0.88,22.46,92.36
2022-05-24,2.97,23.11,91.74
2022-05-25,5.39,22.71,92.75
2022-05-26,10.75,21.92,86.37
2022-05-27,3.58,23.21,86.96
2022-05-28,8.2,23.22,90.21
2022-05-29,1.91,23.18,87.99
2022-05-30,5.5,22.96,88.8
2022-05-31,1.33,23.21,83.73
2022-06-01,0.55,23.37,87.69
2022-06-02,9.49,23.22,89.13
2022-06-03,1.12,22.78,88.99
2022-06-04,0.92,23.02,89.07
2022-06-05,7.42,22.83,92.41
2022-06-06,24.65,22.04,91.77
2022-06-07,4.24,22.01,94.06
2022-06-08,4.1,22.87,88.36
2022-06-09,3.75,22.26,88.62
2022-06-10,5.52,22.86,84.4
2022-06-11,6.84,22.89,91.47
2022-06-12,7.76,23.43,88.14
2022-06-13,7.23,21.99,93.62
2022-06-14,6.68,22.16,90.31
2022-06-15,2.63,22.44,91.53
2022-06-16,1.15,22.29,89.33
2022-06-17,2.66,22.13,88.7
2022-06-18,1.06,22.74,85.85
2022-06-19,1.57,22.63,91.2
2022-06-20,11.56,22.66,92.11
2022-06-21,3.62,22.2,91.94
2022-06-22,1.09,22.71,91.45
2022-06-23,0.46,22.72,89.74
2022-06-24,2.24,22.02,95.73
2022-06-25,4.55,22.37,91.86
2022-06-26,15.5,21.74,95.5
2022-06-27,15.07,22.36,93.11
2022-06-28,1.17,21.81,89.21
2022-06-29,0.46,21.49,88.87
2022-06-30,0.08,21.34,87.42
2022-07-01,0.08,21.92,91.91
2022-07-02,3.02,22.37,91.28
2022-07-03,3.23,22.95,91.86
2022-07-04,0.22,22.55,92.29
2022-07-05,1.2,23.59,83.59
2022-07-06,14.47,23.15,89.6
2022-07-07,2.34,22.27,91.12
2022-07-08,0.27,21.41,90.17
2022-07-09,0.34,20.54,89.35
2022-07-10,1.45,21.15,90.24
2022-07-11,0.28,22.17,90.16
2022-07-12,7.24,22.73,91.98
2022-07-13,15.29,22.03,93.46
2022-07-14,6.66,22.36,90.78
2022-07-15,30.46,22.89,92.43
2022-07-16,43.19,22.54,94.21
2022-07-17,2.22,22.08,93.72
2022-07-18,0.91,22.43,91.62
2022-07-19,0.45,22.71,90.88
2022-07-20,0.04,22.61,89.09
2022-07-21,0.08,21.99,90.53
2022-07-22,0.39,22.24,90.55
2022-07-23,7.03,22.52,90.33
2022-07-24,7.33,22.09,90.41
2022-07-25,0.5,20.77,89.19
2022-07-26,0.01,20.45,88.36
2022-07-27,0.0,21.31,88.16
2022-07-28,0.03,22.28,90.02
2022-07-29,1.87,22.67,89.01
2022-07-30,1.09,22.66,87.37
2022-07-31,0.0,22.29,87.93
2022-08-01,0.29,22.46,84.69
2022-08-02,0.39,22.23,87.99
2022-08-03,1.03,22.87,89.86
2022-08-04,1.82,22.91,90.48
2022-08-05,0.09,21.46,85.13
2022-08-06,1.9,21.37,89.01
2022-08-07,4.09,21.8,89.92
2022-08-08,0.65,21.76,89.11
2022-08-09,6.05,22.29,89.09
2022-08-10,3.97,22.52,89.69
2022-08-11,2.42,22.84,90.18
2022-08-12,8.51,23.5,90.19
2022-08-13,10.46,23.56,88.09
2022-08-14,6.46,23.0,92.18
2022-08-15,2.97,23.03,88.14
2022-08-16,4.34,22.8,87.99
2022-08-17,1.83,21.51,90.4
2022-08-18,0.3,21.86,89.2
2022-08-19,0.16,22.54,88.75
2022-08-20,0.09,22.29,88.55
2022-08-21,3.62,22.1,88.89
2022-08-22,0.91,22.21,89.56
2022-08-23,0.07,22.46,88.46
2022-08-24,0.05,21.96,87.93
2022-08-25,0.02,21.49,87.86
2022-08-26,0.73,22.38,88.78
2022-08-27,5.43,22.21,89.45
2022-08-28,1.2,21.78,88.59
2022-08-29,1.4,21.68,87.92
2022-08-30,0.39,22.31,86.57
2022-08-31,0.39,22.62,88.02
2022-09-01,1.37,22.93,89.83
2022-09-02,0.85,23.05,89.11
2022-09-03,13.16,23.14,87.4
2022-09-04,3.27,22.9,85.56
2022-09-05,4.62,22.71,84.82
2022-09-06,8.32,23.22,87.17
2022-09-07,17.62,22.89,89.68
2022-09-08,16.62,22.33,87.69
2022-09-09,17.38,22.42,89.28
2022-09-10,18.81,22.55,89.62
2022-09-11,12.64,22.35,92.94
2022-09-12,7.15,23.29,86.08
2022-09-13,4.01,23.05,86.86
2022-09-14,2.96,22.08,91.93
2022-09-15,7.72,22.54,89.41
2022-09-16,6.39,22.34,90.62
2022-09-17,5.36,22.9,90.15
2022-09-18,0.52,22.61,89.05
2022-09-19,0.62,22.7,87.54
2022-09-20,10.37,22.43,89.16
2022-09-21,7.89,22.26,91.1
2022-09-22,13.96,22.56,91.68
2022-09-23,11.08,22.66,90.24
2022-09-24,2.46,23.34,88.46
2022-09-25,0.57,22.96,88.41
2022-09-26,1.49,22.74,88.43
2022-09-27,0.66,22.54,87.74
2022-09-28,0.21,22.35,87.41
2022-09-29,0.12,22.8,86.76
2022-09-30,2.7,22.77,89.35
2022-10-01,2.71,23.79,86.69
2022-10-02,4.94,23.83,85.73
2022-10-03,27.63,22.8,91.81
2022-10-04,30.02,23.06,89.88
2022-10-05,8.32,22.89,89.07
2022-10-06,12.91,22.5,90.93
2022-10-07,20.84,22.54,88.54
2022-10-08,17.71,22.73,93.08
2022-10-09,15.95,22.85,91.92
2022-10-10,4.91,22.94,89.94
2022-10-11,8.7,22.39,90.46
2022-10-12,8.37,22.36,90.61
2022-10-13,9.66,22.06,91.41
2022-10-14,2.69,23.06,87.94
2022-10-15,14.59,22.58,90.86
2022-10-16,1.0,23.22,88.12
2022-10-17,1.1,22.82,90.29
2022-10-18,5.04,23.08,89.64
2022-10-19,15.69,23.31,89.85
2022-10-20,8.39,23.29,90.73
2022-10-21,9.98,22.79,92.3
2022-10-22,19.57,23.7,89.23
2022-10-23,7.11,23.76,88.33
2022-10-24,5.52,22.74,89.42
2022-10-25,44.92,22.82,87.85
2022-10-26,10.08,22.32,90.85
2022-10-27,6.09,22.69,88.01
2022-10-28,3.01,22.17,87.76
2022-10-29,1.29,22.31,87.58
2022-10-30,0.64,22.08,87.96
2022-10-31,2.97,22.03,88.78
2022-11-01,26.95,22.58,89.78
2022-11-02,9.11,23.43,88.36
2022-11-03,12.12,23.46,87.86
2022-11-04,28.41,22.82,91.29
2022-11-05,8.3,23.37,88.19
2022-11-06,19.79,22.81,91.73
2022-11-07,10.42,22.63,88.62
2022-11-08,2.04,23.12,88.24
2022-11-09,18.82,22.82,93.32
2022-11-10,23.56,23.49,87.9
2022-11-11,7.28,23.07,89.08
2022-11-12,6.71,22.89,90.77
2022-11-13,18.05,23.44,91.78
2022-11-14,9.47,23.2,91.88
2022-11-15,7.7,22.75,95.39
2022-11-16,5.58,22.64,90.68
2022-11-17,10.28,22.94,91.54
2022-11-18,13.95,22.93,90.1
2022-11-19,0.87,22.78,88.6
2022-11-20,3.37,22.34,88.07
2022-11-21,1.98,23.33,85.94
2022-11-22,12.84,23.19,87.71
2022-11-23,11.81,23.25,89.25
2022-11-24,12.57,23.08,90.78
2022-11-25,11.39,22.32,89.73
2022-11-26,19.63,22.08,90.1
2022-11-27,11.91,22.39,87.57
2022-11-28,9.81,23.22,88.75
2022-11-29,36.38,22.92,88.28
2022-11-30,10.72,22.34,91.79
2022-12-01,19.15,22.73,89.05
2022-12-02,18.28,22.66,89.9
2022-12-03,7.62,22.74,88.34
2022-12-04,6.75,22.36,90.18
2022-12-05,2.44,22.38,90.7
2022-12-06,7.02,22.76,91.04
2022-12-07,7.72,23.29,88.82
2022-12-08,13.62,22.98,90.0
2022-12-09,14.69,23.01,88.97
2022-12-10,4.59,23.27,89.69
2022-12-11,13.02,23.24,88.47
2022-12-12,8.99,22.9,90.57
2022-12-13,9.6,22.72,91.8
2022-12-14,1.82,22.88,92.23
2022-12-15,12.63,23.19,88.57
2022-12-16,18.34,23.08,89.1
2022-12-17,15.86,23.66,86.73
2022-12-18,4.87,23.91,85.94
2022-12-19,8.75,23.47,89.59
2022-12-20,5.55,23.83,86.92
2022-12-21,6.88,23.29,89.01
2022-12-22,6.29,22.76,89.84
2022-12-23,2.68,22.19,91.18
2022-12-24,2.94,22.24,88.7
2022-12-25,4.34,22.12,88.56
2022-12-26,10.34,22.4,88.26
2022-12-27,1.88,21.73,88.23
2022-12-28,5.58,22.38,88.92
2022-12-29,13.95,22.32,91.31
2022-12-30,3.03,21.92,93.93
2022-12-31,11.99,21.82,94.02
2023-01-01,10.93,21.71,90.55
2023-01-02,1.17,22.34,89.83
2023-01-03,0.88,22.2,89.94
2023-01-04,4.87,22.11,88.44
2023-01-05,2.08,22.18,86.41
2023-01-06,7.9,22.3,88.2
2023-01-07,4.45,23.26,86.18
2023-01-08,5.42,23.03,87.24
2023-01-09,5.07,23.17,86.36
2023-01-10,2.25,23.03,87.14
2023-01-11,6.09,23.14,86.52
2023-01-12,2.24,23.67,85.41
2023-01-13,4.8,22.89,87.38
2023-01-14,0.95,23.69,83.95
2023-01-15,8.59,23.65,88.17
2023-01-16,8.29,23.53,86.67
2023-01-17,4.24,22.82,89.27
2023-01-18,5.74,22.6,90.97
2023-01-19,2.22,22.26,89.43
2023-01-20,10.82,22.77,88.63
2023-01-21,10.84,23.11,88.66
2023-01-22,27.76,23.09,89.93
2023-01-23,6.19,23.55,85.85
2023-01-24,3.15,23.35,87.2
2023-01-25,10.34,22.27,90.38
2023-01-26,6.22,22.43,88.6
2023-01-27,4.29,22.46,89.66
2023-01-28,12.59,22.54,90.74
2023-01-29,1.66,22.87,91.26
2023-01-30,1.02,23.0,91.36
2023-01-31,4.04,23.08,87.91
2023-02-01,5.03,22.49,88.15
2023-02-02,1.62,22.06,92.04
2023-02-03,0.38,22.05,88.13
2023-02-04,0.17,22.46,87.26
2023-02-05,2.39,23.04,83.84
2023-02-06,1.21,22.94,86.08
2023-02-07,4.23,23.05,87.79
2023-02-08,2.44,22.32,89.58
2023-02-09,2.08,21.95,85.57
2023-02-10,10.73,23.04,86.11
2023-02-11,13.98,21.83,90.46
2023-02-12,20.64,21.39,90.27
2023-02-13,6.26,22.22,85.46
2023-02-14,6.9,22.11,88.28
2023-02-15,34.61,22.09,87.29
2023-02-16,12.11,22.55,87.35
2023-02-17,4.04,22.76,87.63
2023-02-18,9.87,23.25,87.63
2023-02-19,39.48,23.32,87.86
2023-02-20,6.86,22.62,85.15
2023-02-21,8.29,22.71,87.25
2023-02-22,4.49,22.38,91.08
2023-02-23,18.32,22.3,93.48
2023-02-24,17.26,21.86,92.13
2023-02-25,12.92,21.42,92.53
2023-02-26,12.18,21.77,89.85
2023-02-27,23.84,21.69,93.17
2023-02-28,4.78,21.96,89.56
2023-03-01,13.05,22.51,87.89
2023-03-02,9.9,22.04,89.89
2023-03-03,5.92,22.58,87.66
2023-03-04,3.75,22.51,88.62
2023-03-05,4.31,22.14,90.13
2023-03-06,19.14,22.76,88.11
2023-03-07,10.19,23.44,84.71
2023-03-08,12.78,23.27,89.61
2023-03-09,8.97,22.98,91.08
2023-03-10,9.93,23.57,88.54
2023-03-11,6.65,23.01,87.31
2023-03-12,4.1,23.32,84.88
2023-03-13,6.63,23.04,80.71
2023-03-14,2.07,23.11,84.05
2023-03-15,9.33,22.11,93.8
2023-03-16,3.49,22.94,89.6
2023-03-17,18.48,22.72,89.12
2023-03-18,14.31,22.85,92.94
2023-03-19,7.9,23.22,91.92
2023-03-20,41.1,23.9,84.77
2023-03-21,6.97,22.89,90.21
2023-03-22,7.28,23.37,89.29
2023-03-23,3.69,24.27,85.76
2023-03-24,1.87,24.02,87.59
2023-03-25,13.08,23.63,89.91
2023-03-26,23.89,23.63,90.9
2023-03-27,10.64,22.89,90.93
2023-03-28,0.84,23.22,90.4
2023-03-29,4.19,22.98,91.41
2023-03-30,6.07,22.93,88.99
2023-03-31,9.15,23.1,88.87
2023-04-01,5.19,22.46,91.24
2023-04-02,11.54,23.14,86.12
2023-04-03,10.69,23.08,88.26
2023-04-04,0.5,23.09,83.98
2023-04-05,3.03,23.58,85.15
2023-04-06,1.41,22.87,85.84
2023-04-07,2.19,22.78,84.8
2023-04-08,6.27,23.46,86.45
2023-04-09,28.7,23.08,88.26
2023-04-10,6.48,23.08,87.33
2023-04-11,0.85,23.34,85.57
2023-04-12,23.03,24.13,87.51
2023-04-13,3.36,23.58,90.6
2023-04-14,13.22,23.53,89.98
2023-04-15,19.34,23.9,89.22
2023-04-16,26.0,23.74,88.32
2023-04-17,3.69,23.98,87.27
2023-04-18,2.19,23.87,90.09
2023-04-19,5.82,23.53,92.06
2023-04-20,9.07,23.77,90.36
2023-04-21,5.48,23.54,92.28
2023-04-22,6.68,23.48,93.28
2023-04-23,6.81,23.6,92.89
2023-04-24,5.29,24.15,90.85
2023-04-25,1.77,24.23,85.57
2023-04-26,5.49,23.82,85.78
2023-04-27,38.56,23.95,91.47
2023-04-28,14.8,23.6,91.7
2023-04-29,1.94,23.8,86.37
2023-04-30,12.09,24.25,87.36
2023-05-01,7.87,23.54,93.75
2023-05-02,3.44,23.37,94.62
2023-05-03,14.97,24.09,87.12
2023-05-04,15.86,23.82,91.84
2023-05-05,16.84,24.7,86.74
2023-05-06,12.95,23.42,94.92
2023-05-07,5.14,24.09,90.3
2023-05-08,16.32,23.4,89.14
2023-05-09,8.02,24.02,87.85
2023-05-10,5.89,24.15,91.22
2023-05-11,6.72,23.89,92.13
2023-05-12,1.73,24.05,91.36
2023-05-13,18.03,23.8,91.81
2023-05-14,0.97,22.01,89.53
2023-05-15,0.06,22.12,89.38
2023-05-16,0.04,22.46,89.64
2023-05-17,0.03,22.64,89.23
2023-05-18,0.03,22.73,88.54
2023-05-19,0.01,23.22,89.46
2023-05-20,0.21,23.34,90.57
2023-05-21,1.86,22.75,88.85
2023-05-22,4.03,22.6,90.02
2023-05-23,0.18,22.37,89.65
2023-05-24,0.18,22.79,89.4
2023-05-25,5.21,22.11,89.41
2023-05-26,2.15,22.05,90.24
2023-05-27,0.88,22.64,89.84
2023-05-28,0.34,23.03,89.85
2023-05-29,0.98,22.78,89.09
2023-05-30,1.03,22.37,89.31
2023-05-31,0.5,22.01,89.46
2023-06-01,0.02,22.64,90.12
2023-06-02,0.02,23.24,90.73
2023-06-03,0.03,23.46,90.54
2023-06-04,1.1,23.42,89.72
2023-06-05,10.33,22.72,92.31
2023-06-06,5.46,22.85,91.17
2023-06-07,2.29,22.62,92.12
2023-06-08,0.76,23.29,91.19
2023-06-09,2.16,22.92,90.77
